,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.8488312748800653,0.662283105022831,0.5895390070921985,0.5328540507111935,0.47087500847219665,0.47692939244663385,0.5421931499614026,0.7941176470588236,0.5124499770695515
30-39,0.7833333333333333,0.8125981161695448,0.620276585598474,0.5681428114492562,0.4685146466217634,0.49947160148975794,0.6041200894282976,0.7551020408163265,0.5174699961285327
40-49,0.7162454044117648,0.6767453773722983,0.6484723220704529,0.5461239601211746,0.4652202592714236,0.48185744531212327,0.5839537950987066,0.8,0.512515125132806
50-59,0.6712251529579221,0.7362388941964191,0.6007401315789473,0.5646046790288364,0.4966537116820611,0.4969037458113205,0.597827493173545,0.7888563049853372,0.5111255555219639
60-69,0.6506537556294838,0.6737968486004513,0.5503711201079622,0.5416707316596339,0.515248159943745,0.5325112419825166,0.5959001123982218,0.7854166666666667,0.514636610431106
70-79,0.6832498155095692,0.6809474512005844,0.5555181191973645,0.537687886066794,0.4917441631140642,0.5400397990995003,0.602884541580015,0.7898936170212766,0.5053897974960593
80-89,0.6903331043956044,0.6640706393515382,0.5173900317642531,0.513128333928592,0.4335355282942272,0.4791692166881934,0.6604421730502827,0.7976190476190477,0.4668287019682383
90-99,0.718421052631579,0.6458333333333334,0.5398813447593935,0.4846746575342466,0.40595238095238095,0.48650332225913623,0.7104166666666667,1.0,0.45454545454545453
Overall,0.680090723668108,0.6917087645367654,0.5673094685478315,0.5430095356843996,0.49057487635217867,0.5145553212745635,0.6049157678073994,0.790470372632865,0.5053965545658046
